type,n,m,t,otps,cmps,iters
min,120,305,138,15,4,78
rnd,120,305,138,15,4,21
max,120,305,29,1,2,2
min,120,305,29,1,2,2
rnd,120,305,29,1,2,2
max,120,305,68,2,2,3
min,120,305,68,2,2,3
rnd,120,305,68,2,2,3
max,120,305,122,29,4,37
rnd,120,305,122,29,4,107
max,120,305,53,2,2,3
min,120,305,53,2,2,3
rnd,120,305,53,2,2,3
max,120,305,111,8,2,11
min,120,305,111,8,2,11
rnd,120,305,111,8,2,16
max,120,305,98,8,3,14
min,120,305,98,8,3,36
rnd,120,305,98,8,3,23
max,120,305,99,1,2,2
min,120,305,99,1,2,2
rnd,120,305,99,1,2,2
max,120,305,80,6,3,7
min,120,305,80,6,3,7
rnd,120,305,80,6,3,7
max,120,305,71,4,2,5
min,120,305,71,4,2,5
rnd,120,305,71,4,2,5
max,120,305,57,5,2,9
min,120,305,57,5,2,9
rnd,120,305,57,5,2,10
max,120,305,64,2,2,3
min,120,305,64,2,2,3
rnd,120,305,64,2,2,3
max,120,305,124,11,2,12
min,120,305,124,11,2,22
rnd,120,305,124,11,2,18
max,120,305,54,3,3,4
min,120,305,54,3,3,6
rnd,120,305,54,3,3,5
max,120,305,103,3,2,4
min,120,305,103,3,2,4
rnd,120,305,103,3,2,4
max,120,305,140,7,3,12
min,120,305,140,7,3,23
rnd,120,305,140,7,3,15
max,120,305,70,5,3,6
min,120,305,70,5,3,6
rnd,120,305,70,5,3,6
max,120,305,44,1,2,2
min,120,305,44,1,2,2
rnd,120,305,44,1,2,2
max,120,305,135,2,2,3
min,120,305,135,2,2,3
rnd,120,305,135,2,2,3
max,120,305,126,18,5,24
max,120,305,119,3,3,4
min,120,305,119,3,3,4
rnd,120,305,119,3,3,4
max,120,305,113,26,5,39
min,120,305,113,26,5,58
rnd,120,305,113,26,5,76
max,120,305,127,8,4,9
min,120,305,127,8,4,17
rnd,120,305,127,8,4,17
max,120,305,73,7,4,8
min,120,305,73,7,4,8
rnd,120,305,73,7,4,8
max,120,305,121,4,2,5
min,120,305,121,4,2,5
rnd,120,305,121,4,2,5
max,120,305,117,33,7,43
min,120,305,117,33,7,60
rnd,120,305,117,33,7,49
max,120,305,118,6,3,9
min,120,305,118,6,3,15
rnd,120,305,118,6,3,13
max,120,305,48,3,2,4
min,120,305,48,3,2,8
rnd,120,305,48,3,2,8
max,120,305,78,13,4,17
min,120,305,78,13,4,20
rnd,120,305,78,13,4,21
max,120,305,125,5,4,6
min,120,305,125,5,4,7
rnd,120,305,125,5,4,7
max,120,305,79,2,2,3
min,120,305,79,2,2,3
rnd,120,305,79,2,2,3
max,120,305,101,4,3,5
min,120,305,101,4,3,5
rnd,120,305,101,4,3,5
max,120,305,89,1,2,2
min,120,305,89,1,2,2
rnd,120,305,89,1,2,2
max,120,305,90,2,2,3
min,120,305,90,2,2,3
rnd,120,305,90,2,2,3
max,120,305,108,3,2,4
min,120,305,108,3,2,4
rnd,120,305,108,3,2,4
max,120,305,136,27,7,51
max,120,305,129,25,7,113
min,120,305,129,25,7,59
max,120,305,52,5,3,9
min,120,305,52,5,3,13
rnd,120,305,52,5,3,12
max,120,305,127,29,6,64
max,120,305,123,10,4,20
min,120,305,123,10,4,47
rnd,120,305,123,10,4,21
max,120,305,109,2,2,3
min,120,305,109,2,2,3
rnd,120,305,109,2,2,3
max,120,305,121,7,3,8
min,120,305,121,7,3,8
rnd,120,305,121,7,3,8
max,120,305,71,4,2,5
min,120,305,71,4,2,5
rnd,120,305,71,4,2,5
max,120,305,147,30,5,73
max,120,305,101,6,4,7
min,120,305,101,6,4,7
rnd,120,305,101,6,4,7
max,120,305,127,20,5,56
max,120,305,120,11,4,12
min,120,305,120,11,4,13
rnd,120,305,120,11,4,12
max,120,305,148,31,6,83
max,120,305,124,14,4,29
rnd,120,305,124,14,4,51
max,120,305,7,2,2,3
min,120,305,7,2,2,3
rnd,120,305,7,2,2,3
