type,n,m,t,otps,cmps,iters
rnd,68,115,38,26,4,378
max,68,115,29,21,2,33
rnd,68,115,29,21,2,174
max,68,115,12,2,2,3
min,68,115,12,2,2,4
rnd,68,115,12,2,2,4
max,68,115,31,3,2,4
min,68,115,31,3,2,4
rnd,68,115,31,3,2,4
max,68,115,26,5,2,6
min,68,115,26,5,2,9
rnd,68,115,26,5,2,7
max,68,115,34,21,4,37
min,68,115,34,21,4,77
rnd,68,115,34,21,4,119
max,68,115,33,5,2,10
min,68,115,33,5,2,20
rnd,68,115,33,5,2,14
max,68,115,38,4,2,6
min,68,115,38,4,2,12
rnd,68,115,38,4,2,10
max,68,115,35,7,2,8
min,68,115,35,7,2,16
rnd,68,115,35,7,2,13
max,68,115,33,4,2,5
min,68,115,33,4,2,14
rnd,68,115,33,4,2,14
max,68,115,15,5,2,11
min,68,115,15,5,2,22
rnd,68,115,15,5,2,18
max,68,115,7,3,2,4
min,68,115,7,3,2,7
rnd,68,115,7,3,2,7
max,68,115,12,3,2,4
min,68,115,12,3,2,8
rnd,68,115,12,3,2,8
max,68,115,39,7,2,9
min,68,115,39,7,2,10
rnd,68,115,39,7,2,13
max,68,115,21,19,4,20
min,68,115,21,19,4,41
rnd,68,115,21,19,4,130
max,68,115,30,6,3,9
min,68,115,30,6,3,21
rnd,68,115,30,6,3,9
max,68,115,33,11,3,25
min,68,115,33,11,3,91
rnd,68,115,33,11,3,87
max,68,115,32,13,3,18
min,68,115,32,13,3,79
rnd,68,115,32,13,3,34
max,68,115,28,8,2,19
min,68,115,28,8,2,21
rnd,68,115,28,8,2,19
max,68,115,35,2,2,3
min,68,115,35,2,2,4
rnd,68,115,35,2,2,4
max,68,115,35,5,2,6
min,68,115,35,5,2,9
rnd,68,115,35,5,2,7
max,68,115,10,3,2,4
min,68,115,10,3,2,5
rnd,68,115,10,3,2,4
max,68,115,38,16,4,104
min,68,115,38,16,4,784
rnd,68,115,38,16,4,146
max,68,115,38,11,3,27
min,68,115,38,11,3,46
rnd,68,115,38,11,3,36
